#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::05 - N1 Grammar::Contrast

説明の余地もないほど明らかだ。	まじき	ものではない	べくもない	べくもない = impossible/cannot	Too clear to need explanation	[sound:80c79e0c0008.mp3]	module:05-n1 jlpt:n1 register:literary point:べくもない pos:expr frequency:low complexity:standard source:shin-kanzen
比較す___差だ。	まじき	ものではない	べくもない	べくもない = beyond comparison	A difference beyond comparison	[sound:b8542500d7b5.mp3]	module:05-n1 jlpt:n1 register:literary point:べくもない pos:expr frequency:top10k complexity:intro source:shin-kanzen
そのような非礼は___ことだ。	べくもない	ものではない	まじき	まじき = should not/unbecoming	Such rudeness is unbecoming	[sound:435ab9e58c39.mp3]	module:05-n1 jlpt:n1 register:literary point:べくもない pos:expr frequency:top10k complexity:standard source:shin-kanzen
君に対してそんなことをする___。	べくもない	ものではない	まじき	まじき = ought not/should not	Ought not do such to you	[sound:a3b9a0ee8596.mp3]	module:05-n1 jlpt:n1 register:literary point:べくもない pos:expr frequency:top10k complexity:standard source:shin-kanzen
人を傷つける___。	べくもない	まじき	ものではない	ものではない = one should not/not the way	One should not hurt people	[sound:81c4d14383bb.mp3]	module:05-n1 jlpt:n1 register:literary point:べくもない pos:expr frequency:top10k source:shin-kanzen complexity:intro
彼を疑う___。	べくもない	まじき	ものではない	ものではない = should not/not the thing	Should not doubt him	[sound:aac51b05e343.mp3]	module:05-n1 jlpt:n1 register:literary point:べくもない pos:expr frequency:top10k complexity:intro source:shin-kanzen
理解する___内容だ。	まじき	ものではない	べくもない	べくもない = beyond understanding	Content is beyond understanding	[sound:c1855b423c62.mp3]	module:05-n1 jlpt:n1 register:literary point:べくもない pos:expr frequency:top10k source:shin-kanzen complexity:intro
見知らぬ者との結婚は___ことだった。	べくもない	ものではない	まじき	まじき = unfit/improper	Marriage to stranger was improper	[sound:2884d5f8b9f7.mp3]	module:05-n1 jlpt:n1 register:literary point:べくもない pos:expr frequency:top10k complexity:standard source:shin-kanzen
こんな扱いを受ける___。	べくもない	まじき	ものではない	ものではない = should not be	Should not receive such treatment	[sound:c65803c8e695.mp3]	module:05-n1 jlpt:n1 register:literary point:べくもない pos:expr frequency:low complexity:standard source:shin-kanzen
測定す___価値がある。	まじき	ものではない	べくもない	べくもない = incalculable/immeasurable	Has incalculable value	[sound:28c98cbe2f16.mp3]	module:05-n1 jlpt:n1 register:literary point:べくもない pos:expr frequency:low source:shin-kanzen complexity:intro
