#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::10 - Onomatopoeia::Giongo

ワンワン	わんわん	Woof woof.	Dog bark	onomatopoeia	actual sound	dog barking	meow (ニャーニャー)	[sound:d089c6bae983.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ニャーニャー	にゃーにゃー	Meow meow.	Cat meow	onomatopoeia	actual sound	cat crying	dog bark (ワンワン)	[sound:b52e76022102.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ガチャン	がちゃん	Clang/click.	Hard object collision	onomatopoeia	actual sound	impact sound	soft splash (ザぶん)	[sound:9c6d1a4da546.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ゴロゴロ	ごろごろ	Rumble/rolling.	Thunder or rolling	onomatopoeia	actual sound	deep rolling	light rustling (カサカサ)	[sound:938a3cd2d0da.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ドキドキ	どきどき	Thump/pounding.	Heartbeat fast	onomatopoeia	actual sound	rapid pulse	steady tick (チクタク)	[sound:5969d0688239.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ザーザー	ざーざー	Pouring/streaming.	Heavy rain	onomatopoeia	actual sound	downpour	light drizzle (しとしと)	[sound:9d4f1cd9c7a2.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
シッシッ	しっしっ	Shoo/go away.	Chasing away	onomatopoeia	actual sound	dismissive sound	whoosh (スッ)	[sound:ddd98d823fd2.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
チョロチョロ	ちょろちょろ	Trickling.	Water flowing gently	onomatopoeia	actual sound	trickle of liquid	gushing (ザーザー)	[sound:a8e06dc996d1.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
ポツン	ぽつん	Plop/drip.	Single drop falling	onomatopoeia	actual sound	isolated impact	continuous rain (ザーザー)	[sound:c97b76c8d165.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
キラキラ	きらきら	Sparkling/twinkling.	Light reflection	onomatopoeia	actual sound	bright twinkle	dull gleam (どんより)	[sound:b926dc0626cd.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
カシャカシャ	かしゃかしゃ	Clicking/rattling.	Shutter or chain	onomatopoeia	actual sound	staccato clicking	smooth sliding (スルスル)	[sound:528a6735b548.mp3]	module:10-onomatopoeia point:giongo-sounds complexity:intro source:dictionary-of-jp-grammar
