#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::02 - N4 Grammar::Recognition
窓を開けた。	まどをひらけた。	I opened the window.	Transitive (ta-doushi) - someone opens	Transitive V + を/を object	Someone causes change	窓 window	開く/開ける	[sound:94209ad58460.mp3]	
朝日で窓が自然に___。	あさひでまどがしぜんに___。	With morning sunlight, the window naturally opened.	Cloze: intransitive	Intransitive V	Expresses natural change	開いた	開く/開ける	[sound:3266d12569fe.mp3]	
私は窓を毎朝___。	わたしはまどをまいあさ___。	I open the window every morning.	Cloze: transitive	Transitive V + を/を object	Someone causes change	開ける	開く/開ける	[sound:1603013398b3.mp3]	
ドアが閉まった。	どあがしまった。	The door closed.	Intransitive - closes by itself	Intransitive V	Expresses natural change	ドア door	閉まる/閉める	[sound:a82f0db87e23.mp3]	
ドアを閉めた。	どあをしめた。	I closed the door.	Transitive - someone closes	Transitive V + を/を object	Someone causes change	ドア door	閉まる/閉める	[sound:550d90163c59.mp3]	
強い風でカーテンが___。	つよいかぜでかーてんが___。	With strong wind, the curtains closed.	Cloze: intransitive	Intransitive V	Expresses natural change	閉まった	閉まる/閉める	[sound:d726a0757d20.mp3]	
寝る前にドアを必ず___。	ねるまえにどあをかならず___。	Before sleeping, I always close the door.	Cloze: transitive	Transitive V + を/を object	Someone causes change	閉める	閉まる/閉める	[sound:a7e059ef6a5d.mp3]	
映画が始まった。	えいががはじまった。	The movie started.	Intransitive - starts by itself	Intransitive V	Expresses natural change	映画 movie	始まる/始める	[sound:07888841f640.mp3]	
映画を始めた。	えいがをはじめた。	I started the movie.	Transitive - someone starts	Transitive V + を/を object	Someone causes change	映画 movie	始まる/始める	[sound:03bc6a422f62.mp3]	
定刻にコンサートが___。	ていこくにこんさーとが___。	The concert started at the scheduled time.	Cloze: intransitive	Intransitive V	Expresses natural change	始まった	始まる/始める	[sound:c63efffca62c.mp3]	
先生がレッスンを___。	せんせいがれっすんを___。	The teacher starts the lesson.	Cloze: transitive	Transitive V + を/を object	Someone causes change	始める	始まる/始める	[sound:b1fe4a86a515.mp3]	
授業が終わった。	じゅぎょうがおわった。	The class ended.	Intransitive - ends by itself	Intransitive V	Expresses natural change	授業 class	終わる/終える	[sound:082e440e19c9.mp3]	
授業を終えた。	じゅぎょうをおえた。	I finished the class.	Transitive - someone finishes	Transitive V + を/を object	Someone causes change	授業 class	終わる/終える	[sound:890861a9a6df.mp3]	
試験が予定通り___。	しけんがよていどおり___。	The exam ended as scheduled.	Cloze: intransitive	Intransitive V	Expresses natural change	終わった	終わる/終える	[sound:d33462f77338.mp3]	
仕事を早く___ことができた。	しごとをはやく___ことができた。	I was able to finish work early.	Cloze: transitive	Transitive V + を/を object	Someone causes change	終える	終わる/終える	[sound:f3b7371cc2ac.mp3]	
部屋に入った。	へやにいっった。	I entered the room.	Intransitive - goes in	Intransitive V	Expresses natural change	部屋 room	入る/入れる	[sound:2333a426bb04.mp3]	
客を入れた。	きゃくをいれた。	I let the guest in.	Transitive - someone lets in	Transitive V + を/を object	Someone causes change	客 guest	入る/入れる	[sound:3ad17211de38.mp3]	
式典が始まったので列に___。	しきてんがはじまったのでつらに___。	The ceremony started so I entered the line.	Cloze: intransitive	Intransitive V	Expresses natural change	入った	入る/入れる	[sound:4e2a55087434.mp3]	
鍵を持っているので新人を___。	かぎをもっているのでしんじんを___。	Since I have the key, I let the new employee in.	Cloze: transitive	Transitive V + を/を object	Someone causes change	入れる	入る/入れる	[sound:b79bc03d8d79.mp3]	
家を出た。	いえをでた。	I left the house.	Intransitive - exits	Intransitive V	Expresses natural change	家 house	出る/出す	[sound:119cf5a45bba.mp3]	
荷物を出した。	にもつをだした。	I took out the luggage.	Transitive - someone takes out	Transitive V + を/を object	Someone causes change	荷物 luggage	出る/出す	[sound:0b9cd43f05bb.mp3]	
朝早く家を___。	あさはやくいえを___。	I left home early in the morning.	Cloze: intransitive	Intransitive V	Expresses natural change	出た	出る/出す	[sound:2edd22864cdb.mp3]	
隠していた秘密を___。	かくしていたひみつを___。	I revealed the hidden secret.	Cloze: transitive	Transitive V + を/を object	Someone causes change	出す	出る/出す	[sound:bfe39454a164.mp3]	
気温が上がった。	きおんがあがった。	The temperature rose.	Intransitive - goes up	Intransitive V	Expresses natural change	気温 temperature	上がる/上げる	[sound:e18858b71c16.mp3]	
旗を上げた。	はたをあげた。	I raised the flag.	Transitive - someone raises	Transitive V + を/を object	Someone causes change	旗 flag	上がる/上げる	[sound:d28c25922d8f.mp3]	
夏に気温が急に___。	なつにきおんがきゅうに___。	In summer, the temperature suddenly rose.	Cloze: intransitive	Intransitive V	Expresses natural change	上がった	上がる/上げる	[sound:63ca8324a002.mp3]	
試合に勝ったので士気を___。	しあいにかったのでしきを___。	After winning the match, we raised morale.	Cloze: transitive	Transitive V + を/を object	Someone causes change	上げた	上がる/上げる	[sound:5e6ff84e77c9.mp3]	
値段が下がった。	ねだんがさがった。	The price dropped.	Intransitive - goes down	Intransitive V	Expresses natural change	値段 price	下がる/下げる	[sound:24399821f1ba.mp3]	
手を下げた。	てをさげた。	I lowered my hand.	Transitive - someone lowers	Transitive V + を/を object	Someone causes change	手 hand	下がる/下げる	[sound:38209a3637f7.mp3]	
売上が急に___。	うりあがきゅうに___。	Sales suddenly dropped.	Cloze: intransitive	Intransitive V	Expresses natural change	下がった	下がる/下げる	[sound:a7c655b1e3c1.mp3]	
彼は頭を___。	かれはあたまを___。	He lowered his head.	Cloze: transitive	Transitive V + を/を object	Someone causes change	下げた	下がる/下げる	[sound:e461646f9178.mp3]	
荷物が落ちた。	にもつがおちた。	The luggage fell.	Intransitive - falls	Intransitive V	Expresses natural change	荷物 luggage	落ちる/落とす	[sound:341702f92f9c.mp3]	
荷物を落とした。	にもつをおとした。	I dropped the luggage.	Transitive - someone drops	Transitive V + を/を object	Someone causes change	荷物 luggage	落ちる/落とす	[sound:08620c460cab.mp3]	
枝から葉が___。	えだからはが___。	Leaves fell from the branch.	Cloze: intransitive	Intransitive V	Expresses natural change	落ちた	落ちる/落とす	[sound:6f58e8dff0c1.mp3]	
誤って携帯を___。	あやまってけいたいを___。	I accidentally dropped my phone.	Cloze: transitive	Transitive V + を/を object	Someone causes change	落とした	落ちる/落とす	[sound:531111d86ae1.mp3]	
人が集まった。	にんがあつまった。	People gathered.	Intransitive - gathers	Intransitive V	Expresses natural change	人 people	集まる/集める	[sound:4ec50023e606.mp3]	
人を集めた。	にんをあつめた。	I gathered people.	Transitive - someone gathers	Transitive V + を/を object	Someone causes change	人 people	集まる/集める	[sound:0c973dc749c7.mp3]	
公園に子どもたちが___。	こうえんにこどもたちが___。	Children gathered in the park.	Cloze: intransitive	Intransitive V	Expresses natural change	集まった	集まる/集める	[sound:301080a767fe.mp3]	
会議のために情報を___。	かいぎのためにじょうほうを___。	I gathered information for the meeting.	Cloze: transitive	Transitive V + を/を object	Someone causes change	集めた	集まる/集める	[sound:34fa95ca7619.mp3]	
思いが伝わった。	おもいがつたわった。	My feelings were conveyed.	Intransitive - is conveyed	Intransitive V	Expresses natural change	思い feelings	伝わる/伝える	[sound:2a57984ad029.mp3]	
思いを伝えた。	おもいをつたえた。	I conveyed my feelings.	Transitive - someone conveys	Transitive V + を/を object	Someone causes change	思い feelings	伝わる/伝える	[sound:8681cdf35cfd.mp3]	
彼の不安が私に___。	かのふあんがわたしに___。	His anxiety was conveyed to me.	Cloze: intransitive	Intransitive V	Expresses natural change	伝わった	伝わる/伝える	[sound:14913c0e0ea1.mp3]	
大切な話を親に___。	たいせつなはなしをおやに___。	I told the important talk to my parent.	Cloze: transitive	Transitive V + を/を object	Someone causes change	伝えた	伝わる/伝える	[sound:901e83352860.mp3]	
子どもが育った。	こどもがそだった。	The child grew up.	Intransitive - grows	Intransitive V	Expresses natural change	子ども child	育つ/育てる	[sound:8ac72d9ad7dc.mp3]	
子どもを育てた。	こどもをそだてた。	I raised the child.	Transitive - someone raises	Transitive V + を/を object	Someone causes change	子ども child	育つ/育てる	[sound:590d403bd20e.mp3]	
健康に___ことが重要だ。	けんこうに___ことがじゅうようだ。	It is important to grow up healthy.	Cloze: intransitive	Intransitive V	Expresses natural change	育つ	育つ/育てる	[sound:1162339badf6.mp3]	
親として子どもを___。	おやとしてこどもを___。	As a parent, I raise children.	Cloze: transitive	Transitive V + を/を object	Someone causes change	育てる	育つ/育てる	[sound:d926ba2fabe5.mp3]	
日程が決まった。	にっていがきまった。	The schedule was decided.	Intransitive - is decided	Intransitive V	Expresses natural change	日程 schedule	決まる/決める	[sound:80f01aebddd3.mp3]	
日程を決めた。	にっていをきめた。	I decided the schedule.	Transitive - someone decides	Transitive V + を/を object	Someone causes change	日程 schedule	決まる/決める	[sound:834870051f18.mp3]	
やっと試合の日が___。	やっとしあいのにちが___。	Finally, the match date was decided.	Cloze: intransitive	Intransitive V	Expresses natural change	決まった	決まる/決める	[sound:253467009ffe.mp3]	
会議で重要な事項を___。	かいぎでじゅうようなじこうを___。	We decided on an important matter in the meeting.	Cloze: transitive	Transitive V + を/を object	Someone causes change	決めた	決まる/決める	[sound:5178df320f59.mp3]	
猫が見つかった。	ねこがみつかった。	The cat was found.	Intransitive - is found	Intransitive V	Expresses natural change	猫 cat	見つかる/見つける	[sound:980a7998fd9a.mp3]	
猫を見つけた。	ねこをみつけた。	I found the cat.	Transitive - someone finds	Transitive V + を/を object	Someone causes change	猫 cat	見つかる/見つける	[sound:66f3a22a87d4.mp3]	
