#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::02 - N4 Grammar::Production

I am about to leave.	今出発するところです。	いまいではっするところです。	今出発するところです。	immediate future with するところ	[sound:06913c2855cd.mp3]	module:02-n4 jlpt:n4 register:neutral point:tokoro-aspectual pos:expr complexity:standard source:shin-kanzen frequency:top5k complexity:intro
He is in the middle of eating.	彼は食べているところです。	かれはたべているところです。	彼は食べているところです。	ongoing action with しているところ	[sound:02e86f267478.mp3]	module:02-n4 jlpt:n4 register:neutral point:tokoro-aspectual pos:expr complexity:standard source:shin-kanzen frequency:top5k
I just finished the meeting.	会議を終わったところです。	かいぎをおわったところです。	会議を終わったところです。	just completed with したところ	[sound:72367c8b5cda.mp3]	module:02-n4 jlpt:n4 register:neutral point:tokoro-aspectual pos:expr complexity:standard source:shin-kanzen frequency:top5k
She just graduated from university.	大学を卒業したばかりです。	だいがくをそつぎょうしたばかりです。	大学を卒業したばかりです。	very recent action with したばかり	[sound:50886ceb3b98.mp3]	module:02-n4 jlpt:n4 register:neutral point:tokoro-aspectual pos:expr complexity:advanced source:shin-kanzen frequency:top5k complexity:standard
The train is about to depart.	電車が発車するところです。	でんしゃがはっしゃするところです。	電車が発車するところです。	imminent future	[sound:e8b8f07ea15a.mp3]	module:02-n4 jlpt:n4 register:neutral point:tokoro-aspectual pos:expr complexity:standard source:shin-kanzen frequency:top10k
We are in the process of discussing the plan.	計画について議論しているところです。	けいかくについてぎろんしているところです。	計画について議論しているところです。	active discussion	[sound:7f907c6b8da8.mp3]	module:02-n4 jlpt:n4 register:neutral point:tokoro-aspectual pos:expr complexity:advanced source:shin-kanzen frequency:top10k complexity:standard
I just woke up.	目が覚めたところです。	めがさめたところです。	目が覚めたところです。	recent awakening	[sound:27e20415451c.mp3]	module:02-n4 jlpt:n4 register:neutral point:tokoro-aspectual pos:expr complexity:standard source:shin-kanzen frequency:top1k complexity:intro
He just finished his work.	仕事を終わらせたばかりです。	しごとをおわらせたばかりです。	仕事を終わらせたばかりです。	recent completion	[sound:8ddc700aabac.mp3]	module:02-n4 jlpt:n4 register:neutral point:tokoro-aspectual pos:expr complexity:standard source:shin-kanzen frequency:top1k
The show is about to start.	ショーが始まるところです。	しょーがはじまるところです。	ショーが始まるところです。	imminent start	[sound:de0f877d6ea5.mp3]	module:02-n4 jlpt:n4 register:neutral point:tokoro-aspectual pos:expr complexity:standard source:shin-kanzen frequency:low
I'm currently writing a report.	レポートを書いているところです。	れぽーとをかいているところです。	レポートを書いているところです。	ongoing writing	[sound:af50989ea295.mp3]	module:02-n4 jlpt:n4 register:neutral point:tokoro-aspectual pos:expr complexity:advanced source:shin-kanzen complexity:standard
