#separator:tab
#html:true
#columns:Prompt	Target	Reading	Sample	Why	Audio	Tags
#notetype:Production
#deck:Japanese Grammar::02 - N4 Grammar::Production

I gave a book to Tanaka.	田中さんに本をあげた。	たなかさんにほんをあげた。	I gave a book to Tanaka.	giving action with あげる	[sound:1caa0af1aa2a.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:standard
My friend gave me a pen.	友達がボールペンをくれた。	ともだちがぼーるぺんをくれた。	My friend gave me a pen.	receiving from peer with くれる	[sound:8ba9cb068e52.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:standard
I received money from my parents.	親からお金をもらった。	したしからおきんをもらった。	I received money from my parents.	receiving with もらう	[sound:f32ae4b64ad6.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:advanced
He gave a gift to his sister.	彼は妹にプレゼントをあげた。	かれはいもうとにぷれぜんとをあげた。	He gave a gift to his sister.	giving to family	[sound:f3c57a09fb45.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:standard
The teacher gave us homework.	先生が宿題をくれた。	せんせいがしゅくだいをくれた。	The teacher gave us homework.	benefactive giving	[sound:797f4ce2a2df.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:advanced
I'll give this book to you.	この本を君にあげます。	このほんをくんにあげます。	I'll give this book to you.	future giving	[sound:d3835c2135f2.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:standard
My parents gave me a watch.	両親が腕時計をくれた。	りょうしんがうでどけいをくれた。	My parents gave me a watch.	receiving from parents	[sound:e083678320a7.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:standard
Can you give me your phone number?	電話番号をくれませんか。	でんわばんごうをくれませんか。	Can you give me your phone number?	polite request for giving	[sound:3c265e7f2528.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:advanced
I received a letter from my grandmother.	祖母から手紙をもらった。	そぼからてがみをもらった。	I received a letter from my grandmother.	receiving from elder	[sound:8459aef07aa2.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:advanced
Please give him the documents.	彼に書類をあげてください。	かれにしょるいをあげてください。	Please give him the documents.	imperative giving	[sound:1f268dc3bc45.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:advanced
My brother gave me his old bike.	兄は古い自転車をくれた。	あにはふるいじてんしゃをくれた。	My brother gave me his old bike.	family giving	[sound:39e0d92a9ea9.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:advanced
I'll receive the package tomorrow.	明日は荷物をもらいます。	あしたはにもつをもらいます。	I'll receive the package tomorrow.	future receiving	[sound:5d2d05c34af8.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:advanced
The customer gave me a tip.	客がチップをくれた。	きゃくがちっぷをくれた。	The customer gave me a tip.	service industry giving	[sound:a1d9eccd372a.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:standard
Can I give you a suggestion?	提案をあげてもいいですか。	ていあんをあげてもいいですか。	Can I give you a suggestion?	offering giving	[sound:fa2f8db15339.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:standard
She received flowers from her boyfriend.	彼女はボーイフレンドから花をもらった。	かのじょはぼーいふれんどからはなをもらった。	She received flowers from her boyfriend.	romantic giving	[sound:2f4d21dc4cd9.mp3]	module:02-n4 jlpt:n4 register:neutral point:giving-receiving pos:expr complexity:advanced
