#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::00 - Foundation::Recognition

あ	a	Vowel a.	Hiragana base	あ (a)	sound: /a/	kana for /a/		[sound:98fdfc0a7426.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
い	i	Vowel i.	Hiragana base	い (i)	sound: /i/	kana for /i/		[sound:3c01c77f19cd.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
う	u	Vowel u.	Hiragana base	う (u)	sound: /u/	kana for /u/		[sound:af2b29a995c7.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
え	e	Vowel e.	Hiragana base	え (e)	sound: /e/	kana for /e/		[sound:a60311a2fc88.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
お	o	Vowel o.	Hiragana base	お (o)	sound: /o/	kana for /o/		[sound:ac6bc7de7112.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
か	ka	Voiceless velar.	Hiragana base	か (ka)	sound: /ka/	kana for /ka/		[sound:288c9e077190.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
き	ki	Voiceless velar.	Hiragana base	き (ki)	sound: /ki/	kana for /ki/		[sound:27acc76c0055.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
く	ku	Voiceless velar.	Hiragana base	く (ku)	sound: /ku/	kana for /ku/		[sound:ac94e112183c.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
け	ke	Voiceless velar.	Hiragana base	け (ke)	sound: /ke/	kana for /ke/		[sound:d32afeb0abe6.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
こ	ko	Voiceless velar.	Hiragana base	こ (ko)	sound: /ko/	kana for /ko/		[sound:91714b00e5a3.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
さ	sa	Voiceless alveolar.	Hiragana base	さ (sa)	sound: /sa/	kana for /sa/		[sound:7a4faed063b6.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
し	shi	Voiceless alveolar.	Hiragana base	し (shi)	sound: /shi/	kana for /shi/	つ	[sound:812f45bfcf7e.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
す	su	Voiceless alveolar.	Hiragana base	す (su)	sound: /su/	kana for /su/		[sound:5b8252a1e93f.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
せ	se	Voiceless alveolar.	Hiragana base	せ (se)	sound: /se/	kana for /se/		[sound:e1c730bd83c3.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
そ	so	Voiceless alveolar.	Hiragana base	そ (so)	sound: /so/	kana for /so/		[sound:b345d8cc8368.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
た	ta	Voiceless alveolar.	Hiragana base	た (ta)	sound: /ta/	kana for /ta/		[sound:cf4d17f99d10.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ち	chi	Voiceless alveolar.	Hiragana base	ち (chi)	sound: /chi/	kana for /chi/	し	[sound:e022bea2e9d6.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
つ	tsu	Voiceless alveolar.	Hiragana base	つ (tsu)	sound: /tsu/	kana for /tsu/	ち	[sound:0c414c812bd8.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
て	te	Voiceless alveolar.	Hiragana base	て (te)	sound: /te/	kana for /te/		[sound:e2d970611589.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
と	to	Voiceless alveolar.	Hiragana base	と (to)	sound: /to/	kana for /to/		[sound:a986a7bc9e03.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
な	na	Voiced nasal.	Hiragana base	な (na)	sound: /na/	kana for /na/		[sound:478d2f9eb192.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
に	ni	Voiced nasal.	Hiragana base	に (ni)	sound: /ni/	kana for /ni/		[sound:de3d1ecc94b2.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ぬ	nu	Voiced nasal.	Hiragana base	ぬ (nu)	sound: /nu/	kana for /nu/		[sound:ad142ed0573d.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ね	ne	Voiced nasal.	Hiragana base	ね (ne)	sound: /ne/	kana for /ne/		[sound:3a104bbe569e.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
の	no	Voiced nasal.	Hiragana base	の (no)	sound: /no/	kana for /no/		[sound:56377d14d4ef.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
は	ha	Voiceless labial.	Hiragana base	は (ha)	sound: /ha/	kana for /ha/		[sound:1fa0519cfd09.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ひ	hi	Voiceless labial.	Hiragana base	ひ (hi)	sound: /hi/	kana for /hi/		[sound:469e92c9cf65.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ふ	fu	Voiceless labial.	Hiragana base	ふ (fu)	sound: /fu/	kana for /fu/		[sound:382a438fd4c5.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
へ	he	Voiceless labial.	Hiragana base	へ (he)	sound: /he/	kana for /he/		[sound:72c746d609d4.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ほ	ho	Voiceless labial.	Hiragana base	ほ (ho)	sound: /ho/	kana for /ho/		[sound:5a340fe4758d.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ま	ma	Voiced labial.	Hiragana base	ま (ma)	sound: /ma/	kana for /ma/		[sound:400805e5a9e2.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
み	mi	Voiced labial.	Hiragana base	み (mi)	sound: /mi/	kana for /mi/		[sound:1c5425dae8c9.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
む	mu	Voiced labial.	Hiragana base	む (mu)	sound: /mu/	kana for /mu/		[sound:50029791cb9f.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
め	me	Voiced labial.	Hiragana base	め (me)	sound: /me/	kana for /me/		[sound:634540f05d98.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
も	mo	Voiced labial.	Hiragana base	も (mo)	sound: /mo/	kana for /mo/		[sound:3c6945772d72.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
や	ya	Glide y.	Hiragana base	や (ya)	sound: /ya/	kana for /ya/		[sound:bdab1b17397d.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ゆ	yu	Glide y.	Hiragana base	ゆ (yu)	sound: /yu/	kana for /yu/		[sound:44567171f335.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
よ	yo	Glide y.	Hiragana base	よ (yo)	sound: /yo/	kana for /yo/		[sound:6f46f7d4a286.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ら	ra	Voiced alveolar.	Hiragana base	ら (ra)	sound: /ra/	kana for /ra/		[sound:ba7526a5c03f.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
り	ri	Voiced alveolar.	Hiragana base	り (ri)	sound: /ri/	kana for /ri/		[sound:71d1c63e507f.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
る	ru	Voiced alveolar.	Hiragana base	る (ru)	sound: /ru/	kana for /ru/		[sound:ffab9d02a311.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
れ	re	Voiced alveolar.	Hiragana base	れ (re)	sound: /re/	kana for /re/		[sound:df82f999c7fb.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ろ	ro	Voiced alveolar.	Hiragana base	ろ (ro)	sound: /ro/	kana for /ro/		[sound:eb766006aba2.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
わ	wa	Glide w.	Hiragana base	わ (wa)	sound: /wa/	kana for /wa/		[sound:dedb707d8398.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
を	wo	Particle wo.	Hiragana base	を (wo)	sound: /wo/	kana for /wo/		[sound:eba95ba0c666.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ん	n	Moraic nasal.	Hiragana base	ん (n)	sound: /n/	kana for /n/		[sound:48a866bfdaf9.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ア	a	Vowel a.	Katakana base	ア (a)	sound: /a/	kana for /a/		[sound:1b4c4cc65ff2.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
イ	i	Vowel i.	Katakana base	イ (i)	sound: /i/	kana for /i/		[sound:b284de61340b.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
ウ	u	Vowel u.	Katakana base	ウ (u)	sound: /u/	kana for /u/		[sound:86686c311378.mp3]	module:00-foundation jlpt:n5 point:kana complexity:intro source:curated-jpgram
