#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar::11 - Classical::Recognition
何ぞ知らん	なにぞしらん	How would one know.	何ぞ interrogative	漢文読み疑問	どうして・なぜ	modern なぜ		[sound:c3ba4c6f2bf1.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:top1k
もとより然るべし	もとよりしかるべし	Naturally it should be so.	もとより originally	漢文読み副詞	もともと・元々	modern もともと		[sound:f9a23777825a.mp3]	module:11-classical point:kanbun-yomi complexity:intro
然くして	ぜんくして	Thus/in this way.	然くして manner	漢文読み様態	そのようにして	modern そのようにして		[sound:e8f638347e78.mp3]	module:11-classical point:kanbun-yomi complexity:intro
如何なる者ぞや	いかなるものぞや	What kind of person is it.	如何 interrogative	漢文読み疑問	どんな～か	modern どんな～か		[sound:3e1bb87f8390.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:top10k
きわめて美し	きわめてうつくし	Extremely beautiful.	きわめて extremely	漢文読み副詞	非常に・極めて	modern 極めて・非常に		[sound:9a47eab64ec9.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:low
古人のいわく	こじんのいわく	The ancients say.	いわく quote marker	漢文読み引用	～という・～と言う	modern ～という		[sound:87519f1b836e.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:top1k
故に行く	ゆえにいく	Therefore he goes.	故に therefore	漢文読み接続詞	だから・そのため	modern だから・そのため		[sound:1a4f64e6a220.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:low
不幸にして死す	ふこうにしてしす	Unfortunately he dies.	不幸にして unfortunately	漢文読み副詞	あいにく・残念ながら	modern あいにく		[sound:b661c5df104a.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:top10k
豈に然るべからんや	あににしかるべからんや	How could that be so.	豈に rhetorical	漢文読み修辞	どうして～か（修辞疑問）	modern どうして～か		[sound:bb1443abb53f.mp3]	module:11-classical point:kanbun-yomi complexity:intro
若し然らば	もしさらば	If that be so.	若し conditional	漢文読み仮定	もし～なら	modern もし～なら		[sound:f9df1dc88780.mp3]	module:11-classical point:kanbun-yomi complexity:intro
夫れ	おっとれ	That/as for.	夫れ topical	漢文読み主題	～について・～は	modern ～は・～について		[sound:0a083c9ee735.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:top5k
然れども	しかれども	However/but.	然れども但し	漢文読み逆接	しかし・けれども	modern しかし・けれども		[sound:6758c56bdc6b.mp3]	module:11-classical point:kanbun-yomi complexity:intro
如し	ごとし	Similar/like.	如し comparison	漢文読み比較	～のようだ・～のようなもの	modern ～のようだ		[sound:4ae08898b7d5.mp3]	module:11-classical point:kanbun-yomi complexity:intro
又	また	Also/furthermore.	又 addition	漢文読み接続	また・さらに	modern また・さらに		[sound:4c2b677cfdc7.mp3]	module:11-classical point:kanbun-yomi complexity:intro
或いは	あるいは	Perhaps/or.	或いは disjunction	漢文読み選択	あるいは・または	modern あるいは・または		[sound:0055ee6b08c2.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:top10k
即ち	すなわち	Namely/that is.	即ち explanation	漢文読み説明	つまり・すなわち	modern つまり・すなわち		[sound:414792880cf1.mp3]	module:11-classical point:kanbun-yomi complexity:intro
其の	その	That/its.	其の possession	漢文読み所有	その・それの	modern その・それの		[sound:1c4d26a46748.mp3]	module:11-classical point:kanbun-yomi complexity:intro
況や	きょうや	How much more.	況や argumentative	漢文読み論理	ましてや・なおさら	modern ましてや・なおさら		[sound:82f8d0004735.mp3]	module:11-classical point:kanbun-yomi complexity:intro
無き	なき	Without/none.	無き negation	漢文読み否定	ない・いない	modern ない・いない		[sound:83d36a375657.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:top10k
終に	ついに	Finally/at last.	終に temporal	漢文読み時間副詞	ついに・結局	modern ついに・結局		[sound:94322a90733a.mp3]	module:11-classical point:kanbun-yomi complexity:intro
而して	しこうして	And thus/and then.	而して connector	漢文読み接続	そして・そこで	modern そして・そこで		[sound:d031ce71dcb1.mp3]	module:11-classical point:kanbun-yomi complexity:intro
固より	こより	Originally/from the first.	固より 原初性	漢文読み副詞	もともと・元々	modern もともと・元々		[sound:5cee074469ae.mp3]	module:11-classical point:kanbun-yomi complexity:intro
実に	じつに	Truly/indeed.	実に emphasis	漢文読み強調	実に・本当に	modern 実に・本当に		[sound:442348f24ab4.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:top10k
何んぞ	なにんぞ	How/why.	何んぞ interrogative	漢文読み疑問	どうして・何で	modern どうして・何で		[sound:5bd67d734925.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:top1k
寧ろ	むしろ	Rather/instead.	寧ろ preference	漢文読み比較選択	むしろ・どちらかといえば	modern むしろ・どちらかといえば		[sound:4e7fe4a8ba07.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:top10k
以って	もって	By means of.	以って instrumental	漢文読み手段	で・により	modern で・により		[sound:36591ae32461.mp3]	module:11-classical point:kanbun-yomi complexity:intro
於いて	おいて	In/at.	於いて locative	漢文読み場所	で・に	modern で・に		[sound:d7703e81c9c3.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:low
至る	いたる	Reach/arrive at.	至る arrival	漢文読み到達	～に至る	modern ～に至る		[sound:7179467455c9.mp3]	module:11-classical point:kanbun-yomi complexity:intro frequency:top10k
