#separator:tab
#html:true
#columns:JP	Reading	EN	Label	Formula	MainUse	QuickCue	Contrast	Audio	Tags
#notetype:Recognition
#deck:Japanese Grammar (Strict)::03 - N3 Grammar::Recognition

雨が降ろうとしているところが、彼は外に出た。	あめがふろうとしているところが、かれはそとにでた。	Just when it was about to rain, he went outside.	ところが	ところが	Concessive	Just when		[sound:382125597543.mp3]	module:03-n3 jlpt:n3 point:ところが complexity:standard frequency:top10k source:shin-kanzen
彼が話しているところが、誰も聞いていない。	かれがはなしているところが、だれもきいていない。	Just as he speaks, no one is listening.	ところが	ところが	Concessive	Just when		[sound:b7a27323aa91.mp3]	module:03-n3 jlpt:n3 point:ところが complexity:standard frequency:top5k source:shin-kanzen
仕事が終わったところが、急に電話がかかった。	しごとがおわったところが、きゅうにでんわがかかった。	Right when the work finished, a call came suddenly.	ところが	ところが	Concessive	Just when		[sound:b691595d3666.mp3]	module:03-n3 jlpt:n3 point:ところが complexity:standard frequency:top10k source:shin-kanzen
安くなったところが、品質は変わらない。	やすくなったところが、ひんしつはかわらない。	Even though it became cheaper, the quality hasn't changed.	ところが	ところが	Concessive	Just when		[sound:4363870d0f5b.mp3]	module:03-n3 jlpt:n3 point:ところが complexity:standard frequency:low source:shin-kanzen
彼が来るところが、私は帰ることにした。	かれがくるところが、わたしはかえることにした。	Just when he's coming, I decided to leave.	ところが	ところが	Concessive	Just when		[sound:3cbd2748393c.mp3]	module:03-n3 jlpt:n3 point:ところが complexity:standard frequency:top5k source:shin-kanzen
計画が立てられたところが、実行されない。	けいかくがたてられたところが、じっこうされない。	Though the plan was made, it won't be executed.	ところが	ところが	Concessive	Just when		[sound:d9358eb60d61.mp3]	module:03-n3 jlpt:n3 point:ところが complexity:standard frequency:top10k source:shin-kanzen
新しい製品が発売されたところが、売れていない。	あたらしいせいひんがはつばいされたところが、うれていない。	Although the new product was released, it's not selling.	ところが	ところが	Concessive	Just when		[sound:693b86a7fecb.mp3]	module:03-n3 jlpt:n3 point:ところが complexity:standard frequency:low source:shin-kanzen
彼が約束したところが、守られていない。	かれがやくそくしたところが、まもられていない。	Despite what he promised, it's not being kept.	ところが	ところが	Concessive	Just when		[sound:51f6542e84af.mp3]	module:03-n3 jlpt:n3 point:ところが complexity:standard frequency:top5k source:shin-kanzen
薬を飲んだ。ところが、症状は良くならなかった。	くすりをのんだ。ところが、しょうじょうはよくならなかった。	I took medicine. However, the symptoms didn't improve.	ところが	Sentence A. + ところが + unexpected B	introduces an unexpected result contradicting expectations	but contrary to expectation	ところが = adversative but (unexpected); でも/しかし = neutral contrast	[sound:4994c3d59763.mp3]	module:03-n3 jlpt:n3 point:ところが complexity:standard frequency:top5k source:shin-kanzen source:authored frequency:top10k
合格すると思っていた。ところが、落ちてしまった。	ごうかくするとおもっていた。ところが、おちてしまった。	I thought I would pass. However, I failed.	ところが (failed expectation)	Statement of expectation. + ところが + opposite reality	gap between expectation and reality	expected to pass but failed	ところが often follows a stated expectation; しかし does not imply that gap	[sound:ff50d2659040.mp3]	module:03-n3 jlpt:n3 point:ところが complexity:standard frequency:top5k source:shin-kanzen source:authored frequency:top10k
