#separator:tab
#html:true
#columns:JP	OptionA	OptionB	Answer	Why	Tip	Audio	Tags
#notetype:Contrast
#deck:Japanese Grammar::03 - N3 Grammar::Contrast
先生が___にきた	いらした	参りました	いらした	いらした = honorific (about teacher); 参りました = humble (about self)	Choose by subject	[sound:45b1b8879eea.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
私がお___します	返事	返事	返事	Both use お prefix, but context matters: honorific vs humble verb forms	Teacher/authority → honorific	[sound:9fa1b304fbff.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
社長が___	おっしゃった	申し上げた	おっしゃった	おっしゃった = honorific (about executive); 申し上げた = humble (about self)	About someone else → honorific	[sound:8e6c6d643170.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
{{c1::先生が}}___なさる	お-noun-ご-noun	お-V-になる	お-V-になる	お/ご- + stem + になる = honorific form for others	Others' action → honorific	[sound:b7ff63e045f4.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
私が___申し上げます	お-説明	お-説明	お-説明	お-explanation-申し上げる = humble request	My action → humble with いたす	[sound:75568c218350.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
課長が___になりました	お-来る	参りました	お-来る	お-くる-になる = honorific; 参りました = humble	About manager → honorific	[sound:07bf59d235f3.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
{{c1::部長が}}___なされた	お-V-になる	申し上げた	お-V-になる	~になる = honorific for others; 申し上げた = humble for self	About someone else → honorific	[sound:bc3b24f2212a.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
私は___いたします	ご-説明	いたします	ご-説明	ご-noun-いたす = humble form	My action → humble	[sound:57520eb1cde1.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
{{c1::客様が}}___	お-来る-になる	参りました	お-来る-になる	~になる = honorific for others; 参りました = humble for self	About guest → honorific	[sound:2347dbffacb8.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
先生が___	おっしゃる	申し上げる	おっしゃる	おっしゃる = honorific; 申し上げる = humble	About teacher → honorific	[sound:43b22ca611a5.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
お時間を{{c1::いただけますか}}	いただけますでしょうか	ください	いただけますか	いただける = humble permission; ください = direct request	Formal request → いただけますか	[sound:bf4b55ff03d7.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
ご助言を{{c1::いただき}}ありがとうございます	いただき	もらい	いただき	いただく = humble gratitude; もらう = casual gratitude	Formal thanks → いただき	[sound:a36080e1b450.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
このプロジェクトに参加させて{{c1::いただきたい}}	いただきたい	もらいたい	いただきたい	いただきたい = humble request; もらいたい = casual	Formal request → いただきたい	[sound:1ff5057a3453.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
説明を{{c1::いただけますか}}	いただけますか	もらえますか	いただけますか	いただける = humble request; もらえる = casual ask	Polite context → いただけますか	[sound:540f621a8572.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
ご指導を{{c1::いただきました}}	いただきました	もらいました	いただきました	いただく = humble receiving; もらう = casual	Formal gratitude → いただきました	[sound:0466c1ce0a4f.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
休暇を{{c1::いただきたい}}のですが	いただきたい	もらいたい	いただきたい	いただく = humble request; もらう = casual	Formal request → いただきたい	[sound:3acc7d882432.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
アドバイスを{{c1::もらう}}	もらう	いただく	もらう	もらう = casual/friends; いただく = formal/seniors	Casual friend → もらう	[sound:55be10c33568.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
ご意見を{{c1::いただきたい}}	いただきたい	もらいたい	いただきたい	いただきたい = humble request; もらいたい = casual	Formal context → いただきたい	[sound:92606dfe4028.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
荷物が{{c1::あります}}	あります	ございます	あります	あります = standard; ございます = formal/polite	Casual statement → あります	[sound:e774b69860cb.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
こちらが社長で{{c1::ございます}}	ございます	です	ございます	でございます = formal/ceremonial; です = standard polite	Formal introduction → でございます	[sound:986644719f90.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
本日はお越し{{c1::いただきありがとうございます}}	ございます	あります	ございます	ございます = formal gratitude; あります = casual	Formal thanks → ございます	[sound:6072f92f05f8.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
それは違い{{c1::ます}}。いや、違い{{c1::ます}}！	ます	ございます	ます	ます = standard; ございます = formal/ceremonial	Standard statement → ます	[sound:a9820bb8a177.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
恐れ入り{{c1::ますが}}	ますが	ございますが	ますが	ますが = polite; ございますが = very formal	Polite formal request → ございますが	[sound:f2b1f1ef9b66.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
明日も来{{c1::ます}}か	ます	ございます	ます	ます = standard; ございます = overly formal	Standard question → ます	[sound:77d3810bc5e9.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
失礼い{{c1::たします}}。いや、失礼で{{c1::ございます}}	ございます	します	ございます	でございます = formal apology; します = casual	Formal apology → でございます	[sound:42ccc9e6fedf.mp3]	module:03-n3 jlpt:n3 point:n3-keigo-trans
